PID_PUGO,101
PID_ISAIYA,102
PID_ZAITAN,103
PID_BONARD,104
PID_HELL,105
PID_DEATH,105
PID_WAZECACA,106
PID_LABERTHON,107
PID_DZUR,108
PID_RADMIM,109
PID_JELD,110
PID_JELD,111
PID_ZEFFREN,201
PID_YEARDLEY,202
PID_MARJO,203
PID_TASHJORIA,204
PID_RUDBECK,205
PID_SIDIAU,301
PID_ROMMITANA,302
PID_ITOTS,303
PID_BEJONA,304
PID_KAZISA,305
PID_LOMBROSO,306
PID_NOSE,309
PID_RAO,310
PID_SERGEI,311
PID_GORAN,312
PID_YUMA,401
PID_CAHITALENO,402
PID_VALTELOME,403
PID_NUMIDA,404
PID_IZCA,406
PID_HETZEL,407a
PID_LEKAIN,407a
PID_RUBALE,407b
PID_CEPHERAN,407d